city,admin_name,lat,lng,forecast_date,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,weather_code
Asilah,Tanger-Tétouan-Al Hoceïma,35.4667,-6.0333,2026-09-15,31.9,21.4,0.0,0,17.8,33.5,0
Asilah,Tanger-Tétouan-Al Hoceïma,35.4667,-6.0333,2026-09-16,24.7,19.5,0.0,0,17.6,32.4,3
Asilah,Tanger-Tétouan-Al Hoceïma,35.4667,-6.0333,2026-09-17,24.5,18.7,0.0,1,14.5,28.4,3
Asilah,Tanger-Tétouan-Al Hoceïma,35.4667,-6.0333,2026-09-18,27.1,16.7,0.0,3,20.4,35.6,3
Asilah,Tanger-Tétouan-Al Hoceïma,35.4667,-6.0333,2026-09-19,29.6,21.8,0.0,3,35.5,65.9,1
Asilah,Tanger-Tétouan-Al Hoceïma,35.4667,-6.0333,2026-09-20,35.0,23.5,0.0,3,31.8,58.7,0
Asilah,Tanger-Tétouan-Al Hoceïma,35.4667,-6.0333,2026-09-21,37.0,25.3,0.0,3,17.8,34.2,0
Azemmour,Casablanca-Settat,33.2833,-8.3333,2026-09-15,29.0,21.1,0.0,0,17.2,32.4,45
Azemmour,Casablanca-Settat,33.2833,-8.3333,2026-09-16,26.6,20.4,0.0,0,18.4,34.2,45
Azemmour,Casablanca-Settat,33.2833,-8.3333,2026-09-17,26.7,19.1,0.0,0,16.5,30.6,3
Azemmour,Casablanca-Settat,33.2833,-8.3333,2026-09-18,26.4,18.5,0.0,0,17.7,32.4,3
Azemmour,Casablanca-Settat,33.2833,-8.3333,2026-09-19,27.2,18.6,0.0,0,18.1,34.6,2
Azemmour,Casablanca-Settat,33.2833,-8.3333,2026-09-20,29.6,21.1,0.0,0,15.9,31.0,2
Azemmour,Casablanca-Settat,33.2833,-8.3333,2026-09-21,28.5,21.9,0.0,0,13.8,28.4,2
Aziylal,Béni Mellal-Khénifra,31.96,-6.56,2026-09-15,30.3,20.0,0.5,15,26.0,63.0,80
Aziylal,Béni Mellal-Khénifra,31.96,-6.56,2026-09-16,26.8,16.5,0.0,0,18.9,39.6,2
Aziylal,Béni Mellal-Khénifra,31.96,-6.56,2026-09-17,25.2,15.4,0.0,23,16.3,36.4,3
Aziylal,Béni Mellal-Khénifra,31.96,-6.56,2026-09-18,26.2,15.9,0.0,15,16.3,34.9,3
